Image,Anger,Disgust,Fear,Happiness,Sadness,Surprise
KA-AN1,4.32,3.90,1.81,1.55,1.90,2.10
KA-AN2,4.60,4.10,1.77,1.67,1.97,1.70
KA-AN3,4.30,4.43,1.73,1.30,1.70,1.70
KA-DI1,2.65,4.19,3.03,1.42,3.55,2.13
KA-DI2,3.32,4.74,2.87,1.29,2.26,2.13
KA-DI3,2.52,4.68,2.55,1.32,1.94,1.94
KA-FE1,1.97,2.87,4.26,1.32,4.16,3.65
KA-FE2,1.94,4.06,3.87,1.29,3.42,3.16
KA-FE3,2.32,3.74,4.13,1.39,3.00,4.29
KA-FE4,1.61,2.10,2.42,2.06,2.16,4.29
KA-HA1,1.16,1.23,1.26,4.39,1.35,2.29
KA-HA2,1.26,1.23,1.23,4.77,1.29,2.45
KA-HA3,1.29,1.32,1.39,4.61,1.48,2.19
KA-HA4,1.19,1.13,1.29,4.03,1.68,1.42
KA-NE1,1.94,1.84,1.87,3.03,2.16,2.06
KA-NE2,1.77,1.68,1.87,2.84,1.94,2.13
KA-NE3,1.77,1.71,1.84,3.06,1.84,2.29
KA-SA1,2.19,3.68,3.61,1.39,3.97,1.68
KA-SA2,2.40,3.10,2.74,1.26,4.13,1.77
KA-SA3,2.42,3.16,3.03,1.68,3.71,1.74
KA-SU1,1.52,1.52,1.65,2.87,1.55,4.68
KA-SU2,1.68,1.55,1.58,3.00,1.94,4.35
KA-SU3,1.68,1.71,2.03,2.94,1.97,4.74
KL-AN1,3.84,3.81,2.29,1.39,3.00,1.87
KL-AN2,4.10,3.90,2.71,1.68,3.32,2.10
KL-AN3,3.52,3.94,2.35,1.39,3.10,1.84
KL-DI1,3.27,4.48,2.77,1.45,3.06,1.60
KL-DI2,3.52,4.42,2.87,1.16,4.03,2.10
KL-DI3,3.32,4.52,2.74,1.10,3.35,2.32
KL-DI4,3.06,4.35,2.55,1.16,3.00,1.97
KL-FE1,2.94,4.45,4.10,1.26,3.03,4.19
KL-FE2,3.52,4.16,3.45,1.19,3.29,3.03
KL-FE3,3.55,4.29,3.39,1.23,3.16,2.74
KL-HA1,1.42,1.45,1.45,4.42,1.55,1.42
KL-HA2,1.65,1.55,1.58,4.48,1.68,1.58
KL-HA3,1.45,1.42,1.32,4.29,1.45,1.48
KL-NE1,2.35,2.32,2.13,1.84,2.29,3.71
KL-NE2,2.39,2.32,2.32,1.90,2.81,2.52
KL-NE3,2.16,2.10,2.06,2.10,2.13,3.61
KL-SA1,2.87,3.77,3.42,1.19,4.35,1.83
KL-SA2,2.87,3.61,3.35,1.26,4.26,1.90
KL-SA3,2.77,3.68,3.81,1.39,4.42,1.94
KL-SU1,2.42,2.58,2.87,1.77,2.55,4.71
KL-SU2,2.16,1.90,2.19,1.84,1.80,4.84
KL-SU3,2.00,2.00,2.52,1.77,1.77,4.81
KM-AN1,4.58,3.77,1.68,1.39,2.03,1.57
KM-AN2,4.06,3.87,1.90,1.45,2.84,1.68
KM-AN3,4.16,3.58,1.77,1.42,2.13,1.55
KM-DI1,3.52,4.71,2.26,1.26,2.10,1.81
KM-DI2,3.16,4.32,2.13,1.55,2.13,1.74
KM-DI3,3.61,4.58,1.94,1.39,1.87,1.94
KM-FE1,1.97,2.90,2.87,2.52,2.58,2.61
KM-FE2,2.83,3.77,3.80,1.50,2.97,3.67
KM-FE3,2.90,3.84,3.19,1.68,2.84,3.61
KM-HA1,1.10,1.03,1.10,4.90,1.13,1.26
KM-HA2,1.03,1.07,1.07,4.87,1.20,1.43
KM-HA3,1.23,1.10,1.19,4.61,1.32,1.39
KM-HA4,1.10,1.10,1.06,5.00,1.13,1.26
KM-HA5,1.23,1.16,1.16,4.65,1.29,1.39
KM-NE1,1.97,1.97,2.06,2.87,2.52,2.10
KM-NE2,1.84,1.77,1.77,2.87,2.42,1.58
KM-NE3,1.50,1.73,1.53,2.50,2.10,1.70
KM-SA1,2.39,3.26,3.03,1.42,4.00,1.55
KM-SA2,2.61,3.19,2.71,1.23,4.39,1.45
KM-SA3,2.60,3.77,3.19,1.32,4.00,1.87
KM-SA4,2.26,3.39,2.94,1.26,4.29,1.58
KM-SA5,2.10,3.81,3.10,1.35,4.13,1.61
KM-SU1,1.65,1.45,2.10,2.13,1.55,4.97
KM-SU2,1.74,1.81,3.10,2.16,1.90,4.97
KM-SU3,1.71,1.65,2.32,2.16,1.84,4.94
KR-AN1,4.58,3.19,1.68,1.39,1.87,1.73
KR-AN2,4.58,3.65,1.61,1.52,2.58,1.74
KR-AN3,4.48,3.42,2.16,1.48,2.48,2.19
KR-DI1,3.39,4.55,2.58,1.35,2.19,2.23
KR-DI2,4.03,4.39,2.35,1.35,2.32,1.97
KR-DI3,4.29,4.06,2.10,1.39,2.45,1.67
KR-FE1,3.16,3.03,2.90,1.52,2.26,4.45
KR-FE2,3.19,3.71,2.74,1.61,2.39,3.97
KR-FE3,3.58,3.55,3.06,1.55,2.42,4.00
KR-HA1,1.19,1.26,1.19,4.45,1.29,1.10
KR-HA2,1.29,1.32,1.35,4.19,1.48,1.65
KR-HA3,1.16,1.19,1.16,4.39,1.29,1.23
KR-NE1,2.87,2.35,1.87,2.23,2.06,1.84
KR-NE2,2.68,2.35,1.84,2.32,2.23,1.68
KR-NE3,2.81,2.39,1.81,2.03,2.16,1.68
KR-SA1,2.55,2.74,2.29,1.48,4.23,1.84
KR-SA2,2.52,3.06,2.48,1.42,4.26,1.74
KR-SA3,2.81,3.29,2.42,1.48,3.90,1.77
KR-SU1,1.81,1.65,2.03,2.00,1.77,4.68
KR-SU2,2.19,2.03,2.10,2.10,1.84,4.58
KR-SU3,1.94,1.87,2.06,2.42,1.84,4.74
MK-AN1,4.68,4.00,1.55,1.26,1.87,1.48
MK-AN2,4.13,4.52,2.74,1.26,3.32,1.52
MK-AN3,4.35,4.61,2.97,1.26,3.03,2.03
MK-DI1,3.68,4.61,2.58,1.26,2.48,2.26
MK-DI2,2.26,4.39,3.10,1.32,3.10,2.43
MK-DI3,2.68,4.71,3.19,1.61,2.52,2.29
MK-FE1,2.32,3.26,4.26,1.23,4.06,4.10
MK-FE2,2.42,3.97,4.52,1.35,3.32,4.65
MK-FE3,2.16,3.29,4.06,1.42,3.65,2.84
MK-HA1,1.10,1.26,1.23,4.52,1.32,1.58
MK-HA2,1.48,1.52,1.48,4.32,1.61,1.42
MK-HA3,1.19,1.29,1.29,4.65,1.32,1.45
MK-NE1,1.87,1.90,1.87,2.90,2.65,1.74
MK-NE2,1.68,1.55,1.58,3.48,2.19,1.55
MK-NE3,1.81,1.61,1.84,2.97,2.39,1.71
MK-SA1,2.13,2.74,2.68,1.65,4.23,1.74
MK-SA2,1.77,2.71,2.61,1.39,4.52,1.61
MK-SA3,2.13,2.52,2.23,1.26,4.84,1.65
MK-SU1,2.00,2.52,3.29,1.84,2.35,4.94
MK-SU2,1.81,1.90,2.26,2.32,1.65,4.97
MK-SU3,2.13,2.39,3.03,1.97,2.23,4.90
NA-AN1,4.45,3.65,1.71,1.19,2.55,1.61
NA-AN2,4.52,3.32,1.71,1.45,2.39,1.67
NA-AN3,4.48,3.23,1.94,1.32,2.61,1.61
NA-DI1,3.65,4.29,1.87,1.32,3.03,1.58
NA-DI2,3.16,4.19,2.77,1.45,3.19,1.81
NA-DI3,4.33,3.87,2.10,1.43,2.87,1.77
NA-FE1,3.16,3.81,3.90,1.61,2.68,4.10
NA-FE2,3.19,3.58,3.87,1.68,3.10,3.74
NA-FE3,2.71,3.06,3.74,1.48,3.26,3.39
NA-HA1,1.13,1.13,1.16,4.77,1.35,1.42
NA-HA2,1.23,1.32,1.10,4.65,1.47,1.29
NA-HA3,1.32,1.55,1.35,4.48,1.42,1.48
NA-NE1,2.19,2.03,1.68,2.68,2.10,1.61
NA-NE2,2.65,2.45,2.03,2.84,2.29,1.87
NA-NE3,2.32,2.23,2.61,2.77,2.00,1.84
NA-SA1,2.65,3.03,2.94,1.52,4.03,1.77
NA-SA2,3.00,3.23,2.29,1.29,3.74,1.39
NA-SA3,3.48,3.19,2.58,1.71,3.16,1.84
NA-SU1,1.35,1.39,1.39,4.32,1.48,3.32
NA-SU2,1.90,2.03,2.00,2.68,1.45,4.52
NA-SU3,1.97,1.84,1.81,2.39,1.55,4.48
NM-AN1,2.16,1.94,1.94,2.55,2.16,1.81
NM-AN2,2.71,2.35,1.87,2.03,2.29,1.61
NM-AN3,3.17,3.65,2.58,1.68,3.00,1.84
NM-DI1,2.30,3.10,2.21,2.67,2.67,1.77
NM-DI2,2.00,2.39,1.94,2.61,2.39,1.74
NM-DI3,2.16,2.61,1.65,2.45,1.94,1.52
NM-FE1,1.84,2.71,3.87,1.55,3.61,3.65
NM-FE2,1.94,2.32,2.29,2.29,2.29,3.84
NM-FE3,1.87,1.87,2.61,1.90,2.03,4.52
NM-HA1,1.39,1.26,1.23,4.29,1.55,1.45
NM-HA2,1.32,1.26,1.23,4.39,1.42,2.10
NM-HA3,1.42,1.35,1.39,4.19,1.45,1.84
NM-NE1,1.74,1.77,1.68,3.03,2.32,1.77
NM-NE2,1.68,1.68,1.71,3.29,2.23,1.84
NM-NE3,1.87,1.74,1.71,3.19,2.26,1.71
NM-SA1,1.77,1.77,2.29,2.00,3.77,1.67
NM-SA2,1.97,1.90,1.84,2.48,2.68,1.81
NM-SA3,1.87,2.16,2.77,2.03,3.48,1.94
NM-SU1,1.48,1.45,1.77,2.68,1.65,4.94
NM-SU2,1.43,1.37,1.57,2.90,1.53,4.80
NM-SU3,1.65,1.52,1.90,2.65,1.77,4.94
TM-AN1,4.06,4.00,2.58,1.42,3.19,1.77
TM-AN2,4.13,3.48,1.94,1.39,2.58,1.74
TM-AN3,4.16,3.32,1.94,1.55,2.16,1.77
TM-DI1,3.16,4.81,2.39,1.35,1.81,2.19
TM-DI2,3.23,4.65,2.32,1.55,2.39,2.32
TM-DI3,3.10,4.55,2.87,1.35,2.39,1.90
TM-FE1,2.52,4.16,3.45,1.42,3.06,3.29
TM-FE2,2.32,4.39,3.10,1.45,2.77,3.13
TM-FE3,2.39,4.19,3.42,1.35,3.06,3.35
TM-HA1,1.13,1.13,1.26,4.32,1.52,1.26
TM-HA2,1.13,1.26,1.55,4.35,1.65,1.13
TM-HA3,1.29,1.32,1.45,4.61,1.68,1.52
TM-HA4,1.29,1.26,1.39,4.81,1.58,1.42
TM-NE1,1.84,1.87,1.84,2.84,2.58,1.87
TM-NE2,1.84,1.71,1.68,3.06,2.32,1.52
TM-NE3,1.61,1.52,1.32,2.97,1.90,1.42
TM-SA1,1.74,2.23,2.29,1.68,4.10,1.45
TM-SA2,1.84,2.52,2.48,1.48,4.23,1.45
TM-SA3,2.35,3.03,2.48,1.61,3.87,1.55
TM-SU1,2.10,2.87,3.74,1.65,2.77,4.61
TM-SU2,1.87,1.94,2.81,2.03,2.03,4.58
TM-SU3,2.03,2.13,3.32,1.77,2.52,4.77
UY-AN1,4.16,3.90,2.19,1.39,3.23,1.71
UY-AN2,4.23,3.10,1.81,1.45,2.35,1.58
UY-AN3,3.61,3.10,2.03,1.58,2.81,1.74
UY-DI1,2.80,4.20,3.33,1.37,2.93,2.30
UY-DI2,2.84,4.32,2.77,1.45,3.26,1.77
UY-DI3,3.39,4.39,2.84,1.35,3.23,1.52
UY-FE1,2.37,2.48,3.03,1.42,3.45,2.16
UY-FE2,2.42,2.48,2.68,1.74,3.16,2.32
UY-FE3,2.00,2.45,3.06,1.77,3.26,2.55
UY-HA1,1.55,1.55,1.61,3.42,2.52,1.61
UY-HA2,1.42,1.45,1.61,3.84,1.97,1.52
UY-HA3,1.26,1.32,1.55,4.13,1.81,1.42
UY-NE1,2.06,1.97,1.87,2.32,2.29,1.97
UY-NE2,2.23,1.90,1.87,2.10,2.35,1.68
UY-NE3,2.26,2.35,2.06,2.00,2.42,1.71
UY-SA1,3.00,3.55,2.32,1.35,3.65,1.58
UY-SA2,2.61,3.55,2.58,1.52,3.84,1.55
UY-SA3,2.48,3.06,2.26,1.35,3.55,1.35
UY-SU1,1.74,1.94,2.26,2.52,2.29,3.61
UY-SU2,1.77,2.13,2.61,1.84,2.65,4.26
UY-SU3,1.90,1.81,2.42,1.97,2.65,4.45
YM-AN1,4.74,2.84,1.39,1.19,2.16,1.55
YM-AN2,4.13,2.90,1.61,1.68,2.26,1.45
YM-AN3,4.77,3.16,1.87,1.55,2.32,1.68
YM-DI1,2.65,4.81,3.32,1.35,2.90,2.45
YM-DI2,3.03,4.63,3.00,1.13,2.13,2.37
YM-DI3,2.74,4.65,3.68,1.23,3.00,2.61
YM-FE1,2.13,3.26,4.03,1.23,4.26,3.16
YM-FE2,2.16,3.42,4.26,1.26,4.19,3.74
YM-FE3,2.03,3.42,3.35,1.29,3.52,3.48
YM-FE4,2.55,3.45,4.19,1.29,3.13,4.52
YM-HA1,1.32,1.29,1.35,4.90,1.39,1.29
YM-HA3,1.19,1.13,1.16,4.87,1.32,1.32
YM-NE1,1.90,2.00,1.94,2.71,2.97,1.45
YM-NE2,1.97,2.00,2.00,2.73,2.67,1.87
YM-NE3,2.00,1.90,1.77,3.03,2.45,1.74
YM-SA1,1.55,2.13,2.39,1.45,4.61,1.52
YM-SA2,1.94,2.61,2.77,1.65,4.26,1.77
YM-SA3,1.71,2.74,2.55,1.55,4.32,1.35
YM-SU1,1.65,1.58,1.81,2.48,1.55,4.87
YM-SU2,1.39,1.42,1.68,2.74,1.48,4.45
YM-SU3,1.81,1.71,2.29,2.35,1.81,4.87
YN-HA2,1.23,1.23,1.23,4.84,1.42,1.35
