Subjects,accuracy,precision,recall
1,0.7998219650606432,0.6397151757934687,0.7998219650606432
2,0.8975528364849833,0.8097792149866191,0.8975528364849833
4,0.0,0.0,0.0
6,0.7047375444839857,0.5358920710294466,0.7047375444839857
7,0.0,0.0,0.0
14,0.43231829295398977,0.18689910642265173,0.43231829295398977
15,0.29706696181516323,0.16148970475582897,0.29706696181516323
17,0.07516121859017122,0.0057340011022408025,0.07516121859017122
18,0.14050226794999446,0.01974088729909204,0.14050226794999446
20,0.57091802546348,0.3281211596042631,0.57091802546348
21,0.4535586392121755,0.8776266552088331,0.4535586392121755
22,0.5468324452338662,0.5420555371006996,0.5468324452338662
23,0.035614913745130775,0.6358341277407055,0.035614913745130775
25,0.7974470943903258,0.6375286041017603,0.7974470943903258
26,0.0025603918512746297,0.001139830982667834,0.0025603918512746297
27,0.7735368956743003,0.7177047103167601,0.7735368956743003
30,0.2682170542635659,0.11530285210757171,0.2682170542635659
32,0.7028797289666855,0.49403991339228126,0.7028797289666855
33,0.9901082276271383,1.0,0.9901082276271383
34,0.4436784165462026,0.3319953983042497,0.4436784165462026
37,0.37797120857047206,0.1449630752870281,0.37797120857047206
38,0.35943417242147474,0.334488843603599,0.35943417242147474
39,0.4660904255319149,0.4481372378641551,0.4660904255319149
40,0.15096228723995994,1.0,0.15096228723995994
41,0.2951967978652435,0.1225235571407715,0.2951967978652435
