Subjects,accuracy,precision,recall
1,0.0,0.0,0.0
2,0.04972191323692992,1.0,0.04972191323692992
4,0.0,0.0,0.0
6,0.00011120996441281138,1.0,0.00011120996441281138
7,0.0,0.0,0.0
14,0.29328739719937763,0.18608670910752056,0.29328739719937763
15,0.2957387935805202,0.23222386801719938,0.2957387935805202
17,0.536579942183678,0.7962091249907067,0.536579942183678
18,0.4558026330346277,0.2080091767947127,0.4558026330346277
20,0.6944382398927853,0.6955905385037986,0.6944382398927853
21,0.6976275738585497,0.48668423180776615,0.6976275738585497
22,0.02640615748963884,0.910172515873502,0.02640615748963884
23,0.0,0.0,0.0
25,0.752211398499608,0.6541233004192616,0.752211398499608
26,0.05499276410998553,0.01754594856907786,0.05499276410998553
27,0.5512777962163956,0.829382151028861,0.5512777962163956
30,0.4964562569213732,0.24803508358798082,0.4964562569213732
32,0.4205533596837945,0.37835587823512773,0.4205533596837945
33,0.5748865355521936,0.5608714863966784,0.5748865355521936
34,0.1855887912821083,0.3749522698445307,0.1855887912821083
37,0.7291596919986608,0.5524064045740213,0.7291596919986608
38,0.551459122298953,0.33079071449046304,0.551459122298953
39,0.5274822695035462,0.4378052743378897,0.5274822695035462
40,0.07931916787184336,1.0,0.07931916787184336
41,0.8529019346230821,0.8082118375141164,0.8529019346230821
